endTime,artistName,trackName,msPlayed
2024-08-04 03:57,DONT BLINK,VIBRATION,1323
2024-08-04 03:57,Noizu,Moon Groove,1695
2024-08-04 03:57,Chris Lorenzo,Hallucinogen,36432
2024-08-04 03:57,Chris Lorenzo,Pump (AC Slater Remix),1811
2024-08-04 03:57,FineArt,With U,1114
2024-08-04 03:57,belac,All the Way,2995
2024-08-04 03:57,John Summit,Shiver,1323
2024-08-04 03:58,Joshwa,Get Stupid,1602
2024-08-04 03:58,TS7,So High,1207
2024-08-04 03:58,Meraki,Need You,1950
2024-08-04 03:58,Noizu,Summer 91 (Looking Back),1555
2024-08-04 03:58,Truth x Lies,Think About It,1764
2024-08-04 03:58,DJ Hazard,Bricks Don't Roll,1184
2024-08-04 03:58,Peggy Gou,1+1=11 - Edit,1695
2024-08-04 03:58,Chris Lake,Free Your Body - Noizu Remix,1091
2024-08-04 03:58,Disclosure,When A Fire Starts To Burn,59559
2024-08-04 04:01,Odd Mob,Losing Control,998
2024-08-04 04:01,Endor,Pump It Up,2229
2024-08-04 04:01,Biscits,Talk To Me,1184
2024-08-04 04:01,Fred again..,Admit It (u dont want 2),3691
2024-08-04 04:01,Empire Of The Sun,We Are The People - southstar Remix,201851
2024-08-04 04:01,Wax Motif,Skank N Flex (w/ Scrufizzer),1137
2024-08-04 04:02,Riordan,Bring Me Down,54799
2024-08-04 04:03,AC Slater,The Don,1439
2024-08-04 04:03,The Sponges,Space Funk '75,1393
2024-08-04 04:03,Fred again..,leavemealone,626
2024-08-04 04:03,Klaus Veen,Poison,2484
2024-08-04 04:03,Tchami,Promesses (Radio Edit),1160
2024-08-04 04:03,FISHER,Crowd Control,1184
2024-08-04 04:03,Noizu,Push To Start (feat. No/Me),2229
2024-08-04 04:03,SUBSHIFT,Never Say Never,1369
2024-08-04 04:03,Proxy,Raven - Torren Foot & Airwolf Paradise Remix,51617
2024-08-04 04:03,FineArt,With U,1137
2024-08-04 04:04,Fred again..,places to be,975
2024-08-04 04:05,Fred again..,places to be,1509
2024-08-04 04:05,Fred again..,leavemealone,79296
2024-08-04 04:06,Dom Dolla,Take It,42887
2024-08-04 04:06,Jay Pryor,All This,1021
2024-08-04 04:07,Chris Lake,"Lies, Deception, And Fantasy",108692
2024-08-04 04:07,BICEP,Glue,1695
2024-08-04 04:07,Bassboy,Thru Your Mind,1393
2024-08-04 04:07,HODA,Kicks,1230
2024-08-04 04:07,Dombresky,Do You Remember,1021
2024-08-04 04:09,John Summit,Make Me Feel,67314
2024-08-04 04:09,Jax Jones,Feels,998
2024-08-04 04:09,James Hype,I Was Lovin' You (feat. Dots Per Inch & Ayak) - TS7 Remix,1253
2024-08-04 04:11,Marie Davidson,Work It - Soulwax Remix,140457
2024-08-04 04:11,Disclosure,You & Me - Flume Remix,2066
2024-08-04 04:11,Zero,Mother Nature,1904
2024-08-04 04:11,Valentino Khan,Pump,1160
2024-08-04 04:11,Friction,Your Love,2182
2024-08-04 04:11,FISHER,Crowd Control,1207
2024-08-04 04:11,Piero Pirupa,Bass Club,1509
2024-08-04 04:11,AC Slater,Fly Kicks - Wax Motif Remix,1648
2024-08-04 04:11,DONT BLINK,VIBRATION,2043
2024-08-04 04:11,MPH,Crash & Burn,1927
2024-08-04 04:11,Dombresky,In My Soul,2205
2024-08-04 04:12,Obskür,Bayside - Radio Edit,19481
2024-08-04 04:14,RAAS,I Don't Care,123948
2024-08-04 04:16,Samstone,Euphoria,1393
2024-08-04 04:16,Knock2,dashstar*,1393
2024-08-04 04:16,Peggy Gou,(It Goes Like) Nanana - Edit,144219
2024-08-04 04:16,Chris Lake,Free Your Body - Noizu Remix,1393
2024-08-04 04:17,Odd Mob,Lithium,975
2024-08-04 04:17,FISHER,Freaks,1114
2024-08-04 04:17,Martin Ikin,Hands Up,65457
2024-08-04 04:17,DREYA V,Old Skool,1137
2024-08-04 04:17,DR. GABBA,Plasma,3970
2024-08-04 04:17,Avicii,Levels - Radio Edit,1509
2024-08-04 04:17,Twin Diplomacy,Numb,1857
2024-08-04 04:17,Champagne Kenny,Hands Up,1486
2024-08-04 04:17,Lemtom,Wanna See U,905
2024-08-04 04:17,Billen Ted,People Ain't Dancing (feat. Kah-Lo),1695
2024-08-04 04:18,AC Slater,The Don,1160
2024-08-04 04:18,Dombresky,Down Low,998
2024-08-04 04:18,SUBSHIFT,Never Say Never,1346
2024-08-04 04:18,Jauz,Feel The Volume,1230
2024-08-04 04:18,Proxy,Raven - Torren Foot & Airwolf Paradise Remix,1648
2024-08-04 04:18,FineArt,With U,1346
2024-08-04 04:18,belac,All the Way,1230
2024-08-04 04:18,Starjunk 95,Funk Dust Soul,1346
2024-08-04 04:18,Noizu,4 The People,10077
2024-08-04 04:19,Jack Ü,Where Are Ü Now (with Justin Bieber),1393
2024-08-04 04:19,Meraki,Need You,1230
2024-08-04 04:19,AlunaGeorge,Best Be Believing - Shadow Child Remix,1253
2024-08-04 04:19,Sammy Virji,Find My Way Home,90650
2024-08-04 04:20,Starjunk 95,Stardust Circuit,35712
2024-08-04 04:20,Holy Goof,Over You,1137
2024-08-04 04:21,Tchami,The Calling,3599
2024-08-04 04:21,Example,All Night,1927
2024-08-04 04:21,Noizu,Moon Groove,1625
2024-08-04 04:21,Empire Of The Sun,We Are The People - southstar Remix,2298
2024-08-04 04:21,Jauz,Chains,38289
2024-08-04 04:22,GRiZ,supadupakulavibe,1462
2024-08-04 04:22,Dom Dolla,Miracle Maker,1787
2024-08-04 04:22,Chris Lorenzo,Pump (AC Slater Remix),57933
2024-08-04 04:22,FISHER,Stop It,1509
2024-08-04 04:22,MPH,Rush,28676
2024-08-04 04:42,Kid Cudi,Up Up & Away,2048
2024-08-04 04:42,Travis Scott,Impossible,448
2024-08-04 04:42,FISHER,Ya Didn't,28955
2024-08-04 04:42,Aluna,Body Pump - Lady Bee Remix,2112
2024-08-04 04:42,Colbie Caillat,Bubbly,1024
2024-08-04 04:44,Logic,Lord Willin',998
2024-08-04 04:44,BROCKHAMPTON,1999 WILDFIRE,1393
2024-08-04 04:44,Logic,Soul Food,835
2024-08-04 04:44,Mac Miller,New Faces v2 (feat. Earl Sweatshirt and Da$h),108745
2024-08-04 04:47,A$AP Rocky,Kids Turned Out Fine,183120
2024-08-04 04:51,it's murph,Food for the Soul,210562
2024-08-04 04:51,Peggy Gou,Starry Night,7046
2024-08-04 05:14,Trippie Redd,Love Scars,5887
2024-08-04 05:14,Future,Plastic,896
2024-08-04 05:14,03 Greedo,Trap House (feat. Shoreline Mafia),2403
2024-08-04 05:18,Khruangbin,Pon Pón,1877
2024-08-04 05:18,Khruangbin,Pon Pón,14229
2024-08-04 05:18,Khruangbin,Fifteen Fifty-Three,8128
2024-08-04 05:18,Trippie Redd,Love Scars,20437
2024-08-04 05:18,Frank Ocean,Novacane,810
2024-08-04 16:14,Khruangbin,Fifteen Fifty-Three,175098
2024-08-04 16:16,Khruangbin,May Ninth,71935
2024-08-04 16:17,BADBADNOTGOOD,Time Moves Slow,975
2024-08-04 16:17,Khruangbin,Farolim de Felgueiras,3900
2024-08-04 16:17,Baby Keem,HONEST,2066
2024-08-04 16:17,Flume,Slugger 1.4 [2014 Export.WAV],1091
2024-08-04 16:17,Cage The Elephant,Come a Little Closer,1602
2024-08-04 16:17,Kendrick Lamar,For Sale? - Interlude,928
2024-08-04 16:17,Frank Ocean,Novacane,3181
2024-08-04 16:17,Logic,untitled,1184
2024-08-04 16:17,Lil Uzi Vert,XO Tour Llif3,1509
2024-08-04 16:17,MGMT,Kids,2182
2024-08-04 16:17,Miami Horror,Restless - Kraak & Smaak Remix,835
2024-08-04 16:17,Khruangbin,Ada Jean,85913
2024-08-04 16:17,Disclosure,When A Fire Starts To Burn,3250
2024-08-04 16:21,Kid Cudi,Rockstar Knights (with Trippie Redd),12539
2024-08-04 16:21,A.L.I.S.O.N,Space Echo,215050
2024-08-04 16:21,Travis Scott,BUTTERFLY EFFECT,743
2024-08-04 16:21,Throttle,Bloom,1068
2024-08-04 16:25,Deftones,Rx Queen,30418
2024-08-04 16:25,Travis Scott,BUTTERFLY EFFECT,190557
2024-08-04 16:25,Throttle,Bloom,3131
2024-08-04 16:25,Kendrick Lamar,DUCKWORTH.,1044
2024-08-04 16:25,Travis Scott,HYAENA,2902
2024-08-04 16:27,Kanye West,Homecoming,812
2024-08-04 16:27,BØRNS,Electric Love,79969
2024-08-04 16:29,PRhyme,Mode II (feat. Logic),3599
2024-08-04 16:29,Pusha T,The Games We Play,3297
2024-08-04 16:29,Sia,Chandelier,2345
2024-08-04 16:29,A$AP Rocky,Excuse Me,154412
2024-08-04 16:31,Kanye West,Love Lockdown,42798
2024-08-04 16:33,Tame Impala,Nangs,107533
2024-08-04 16:37,Logic,Never Been,201446
2024-08-04 16:46,Kid Cudi,Baptized In Fire,121340
2024-08-04 16:47,AC Slater,The Don,6339
2024-08-04 16:50,Fred again..,places to be,5456
2024-08-04 16:50,Fred again..,leavemealone,182067
2024-08-04 16:50,Riordan,Bring Me Down,5688
2024-08-04 16:54,Interupt,Power,1486
2024-08-04 16:54,John Summit,Where You Are,227276
2024-08-04 16:54,NOTION,Hooked,3529
2024-08-04 16:56,FISHER,You Little Beauty,1021
2024-08-04 16:56,Odd Mob,Lithium,1555
2024-08-04 16:56,Odd Mob,Losing Control,2066
2024-08-04 16:56,Zero,Mother Nature,952
2024-08-04 16:56,The Sponges,Space Funk '75,1509
2024-08-04 16:56,Friction,Your Love,1857
2024-08-04 16:56,Mac Miller,Come Back to Earth,6896
2024-08-04 16:56,Chris Lorenzo,California Dreamin' (feat. High Jinx),2948
2024-08-04 16:56,Fred again..,Admit It (u dont want 2),2298
2024-08-04 16:56,Bassboy,Thru Your Mind,4876
2024-08-04 16:56,Franklyn Watts,Djamba,1578
2024-08-04 16:56,Foamo,Without You,113197
2024-08-04 16:56,Ship Wrek,Need It,1044
2024-08-04 16:56,James Hype,Ferrari,1602
2024-08-04 16:56,John Summit,Shiver,1021
2024-08-04 16:59,Kid Cudi,Rose Golden,2647
2024-08-04 16:59,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),34154
2024-08-04 16:59,Frank Ocean,Sierra Leone,148760
2024-08-04 17:00,Jungle,I've Been In Love,61904
2024-08-04 17:03,Ski Mask The Slump God,Take A Step Back,2275
2024-08-04 17:03,Snakehips,Run It Up,137810
2024-08-04 17:03,spüke,Emanate,40425
2024-08-04 17:03,Sam Smith,Stay With Me,4713
2024-08-04 17:03,Mac Miller,Good Evening,2507
2024-08-04 17:03,Steve Lacy,C U Girl,1950
2024-08-04 17:04,James Hype,Lose Control,3575
2024-08-04 17:04,Zeds Dead,Lights Go Down,812
2024-08-04 17:04,it's murph,Food for the Soul,1346
2024-08-04 17:04,Truth x Lies,Think About It,1044
2024-08-04 17:04,Foamo,Without You,1160
2024-08-04 17:04,NOTION,Hooked,719
2024-08-04 17:04,Skrillex,Leave Me Like This,1253
2024-08-04 17:04,Dom Dolla,San Frandisco,50665
2024-08-04 17:05,Truth x Lies,Mirror Mirror (feat. TELLER),1462
2024-08-04 17:05,Route 94,My Love,2600
2024-08-04 17:05,Chris Lake,In The Yuma (feat. Aatig),27562
2024-08-04 17:05,Disclosure,You & Me - Flume Remix,1021
2024-08-04 17:05,Martin Ikin,Make U Sweat,2670
2024-08-04 17:05,Fred again..,leavemealone,882
2024-08-04 17:05,Riordan,Bring Me Down,2043
2024-08-04 17:05,warner case,stop,1578
2024-08-04 17:05,spüke,Emanate,2159
2024-08-04 17:05,Jax Jones,Feels,743
2024-08-04 17:05,Qubiko,Love Like This,1114
2024-08-04 17:05,Starjunk 95,Giga Groove Radio,1021
2024-08-04 17:05,Steve Angello,ME,1671
2024-08-04 17:05,DONT BLINK,VIBRATION,1137
2024-08-04 17:05,Champagne Kenny,Hands Up,1300
2024-08-04 17:05,Jorja Smith,Little Things x Gypsy Woman - L BEATS MASHUP,975
2024-08-04 17:05,Jauz,Feel The Volume,835
2024-08-04 17:05,Peggy Gou,1+1=11 - Edit,1230
2024-08-04 17:05,Jauz,Chains,1323
2024-08-04 17:05,MPH,Screamer,998
2024-08-04 17:07,Fred again..,Danielle (smile on my face),101355
2024-08-04 17:07,FISHER,Ya Kidding,2600
2024-08-04 17:07,SUBSHIFT,Never Say Never,2136
2024-08-04 17:08,Zero,Mother Nature,2159
2024-08-04 17:08,Fred again..,Admit It (u dont want 2),10240
2024-08-04 17:08,Thys,Make It,67152
2024-08-04 17:12,Louis The Child,It's Strange (feat. K.Flay),3413
2024-08-04 17:12,Noizu,More Love (feat. Secondcity),1393
2024-08-04 17:12,Odd Mob,Reading My Mind,1207
2024-08-04 17:12,Noizu,Push To Start (feat. No/Me),998
2024-08-04 17:12,Josement,All Night Alone - Chris Lake Edit,8800
2024-08-04 17:12,Empire Of The Sun,We Are The People - southstar Remix,180511
2024-08-04 17:12,Jauz,Gassed Up,1277
2024-08-04 17:12,Jauz,Chains,975
2024-08-04 17:17,AC Slater,Fly Kicks - Wax Motif Remix,24915
2024-08-04 17:17,John Summit,Shiver,2484
2024-08-04 17:18,Zeds Dead,Lights Go Down,6292
2024-08-04 17:18,Klaus Veen,Poison,5781
2024-08-04 17:19,Lemtom,Wanna See U,94389
2024-08-04 17:20,Jay Faded,Way You Move,44791
2024-08-04 17:21,Martin Ikin,Hands Up,69706
2024-08-04 17:22,Meraki,Need You,4318
2024-08-04 17:22,Holy Goof,Over You,859
2024-08-04 17:22,MPH,Crash & Burn,56076
2024-08-04 17:24,BROCKHAMPTON,STAR,5921
2024-08-04 17:24,Trippie Redd,Bust Down,131633
2024-08-04 17:25,YBN Nahmir,Bounce Out With That,22894
2024-08-04 18:07,Vince Staples,Norf Norf,78622
2024-08-04 18:11,Childish Gambino,"III. Telegraph Ave. (""Oakland"" by Lloyd)",210673
2024-08-04 18:15,BROCKHAMPTON,WEIGHT,260093
2024-08-04 18:21,Isaiah Rashad,Wat's Wrong (feat. Zacari & Kendrick Lamar),330783
2024-08-04 18:23,Daniel Caesar,CYANIDE,550
2024-08-04 18:23,Mac Miller,Stay,640
2024-08-04 18:23,Rihanna,Love On The Brain,1110
2024-08-04 18:23,Healy,Slalom (feat. PLC),129260
2024-08-04 18:23,Frank Ocean,Crack Rock,730
2024-08-04 18:23,Mac Miller,Jet Fuel,610
2024-08-04 18:23,Childish Gambino,Redbone,650
2024-08-04 18:27,A$AP Rocky,Purity (feat. Frank Ocean),262360
2024-08-04 18:31,Mac Miller,Weekend (feat. Miguel),208080
2024-08-04 18:36,Beach House,Space Song,320466
2024-08-04 18:39,Frank Ocean,Swim Good,209763
2024-08-04 18:44,Daniel Caesar,ENTROPY,261291
2024-08-04 18:49,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),320720
2024-08-04 18:51,Frank Ocean,Close To You,85754
2024-08-04 19:21,PinkPantheress,Pain,98544
2024-08-04 19:24,SiR,John Redcorn,187893
2024-08-04 19:28,Kid Cudi,Rose Golden,277813
2024-08-04 19:32,Kanye West,Violent Crimes,215320
2024-08-04 19:36,Khruangbin,White Gloves,218306
2024-08-04 19:39,Childish Gambino,The Palisades,190906
2024-08-04 19:42,Kendrick Lamar,LOVE. FEAT. ZACARI.,213400
2024-08-04 19:47,Frank Ocean,Self Control,249667
2024-08-04 19:48,Chance the Rapper,Acid Rain,111203
2024-08-04 19:52,Frank Ocean,Forrest Gump,194840
2024-08-04 19:56,"Tyler, The Creator",Garden Shed (feat. Estelle),223946
2024-08-04 20:00,Travis Scott,COFFEE BEAN,209115
2024-08-04 20:04,Frank Ocean,In My Room,21190
2024-08-04 20:04,Brent Faiyaz,Wasting Time ( feat. Drake & The Neptunes ),246567
2024-08-04 20:04,Drake,"Hold On, We're Going Home",800
2024-08-04 20:04,Frank Ocean,Pyramids,980
2024-08-04 21:11,sagun,I'll Keep You Safe,8760
2024-08-04 21:11,Frank Ocean,In My Room,112480
2024-08-04 21:11,Isaiah Rashad,West Savannah (feat. SZA),5250
2024-08-04 21:12,Frank Ocean,Sweet Life,54040
2024-08-04 21:15,Frank Ocean,Pink + White,184516
2024-08-04 21:17,Vacations,Young,67153
2024-08-04 21:21,Lyn Lapid,In My Mind,1140
2024-08-04 21:21,Childish Gambino,Me and Your Mama,236530
2024-08-04 21:21,Felix Jaehn,Ready For Your Love - Odd Mob Remix,14150
2024-08-04 21:21,M83,Outro,4050
2024-08-04 21:24,Travis Scott,TELEKINESIS (feat. SZA & Future),144900
2024-08-04 21:24,A$AP Rocky,Palace,10500
2024-08-04 21:26,RÜFÜS DU SOL,Innerbloom,117270
2024-08-04 21:26,Miami Horror,Love Like Mine (feat. Cleopold),520
2024-08-04 21:29,Daft Punk,Beyond,4600
2024-08-04 21:29,Rascal Flatts,Mayberry,19745
2024-08-04 21:29,Anti Up,Chromatic,202524
2024-08-04 21:33,BROCKHAMPTON,TRIP,202691
2024-08-04 21:38,Frank Ocean,Novacane,302346
2024-08-04 21:42,Louis The Child,Better Not (with Wafia),222865
2024-08-04 21:42,Kendrick Lamar,The Heart Part 5,29756
2024-08-04 21:46,Tommy Richman,MILLION DOLLAR BABY,25040
2024-08-04 21:46,Mac Miller,Face In The Crowd,3940
2024-08-04 21:46,Dayglow,Can I Call You Tonight?,1820
2024-08-04 21:46,Trippie Redd,Topanga,2290
2024-08-04 21:46,HODA,Kicks,3360
2024-08-04 21:46,Black Sabbath,Paranoid - 2012 - Remaster,29880
2024-08-04 21:46,XXXTENTACION,Jocelyn Flores,1200
2024-08-04 21:50,"Tyler, The Creator",PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean & Laetitia Sadier),229710
2024-08-04 21:50,Beast Coast,Distance (feat. Issa Gold & Erick The Architect),6770
2024-08-04 21:51,Brent Faiyaz,Wasting Time ( feat. Drake & The Neptunes ),37860
2024-08-04 21:53,Kanye West,Blood On The Leaves,920
2024-08-04 21:53,Mac DeMarco,For the First Time,790
2024-08-04 21:53,Cordae,Bad Idea (feat. Chance the Rapper),1410
2024-08-04 21:53,Mind’s Eye,wasted affairs,810
2024-08-04 21:53,Aminé,Becky,1280
2024-08-04 21:53,Playboi Carti,Foreign,129370
2024-08-04 21:58,Flume,Slugger 1.4 [2014 Export.WAV],248811
2024-08-04 21:58,The Cure,Friday I'm in Love,29748
2024-08-04 22:02,Mac Miller,Diablo,198107
2024-08-04 22:04,Mac Miller,Kool Aid & Frozen Pizza,157540
2024-08-04 22:05,Junior Senior,Move Your Feet,14362
2024-08-04 22:05,Yot Club,YKWIM?,7030
2024-08-04 22:05,Flume,Nice 2 Know U 1.5.3 [2020 Export Wav],2950
2024-08-04 22:08,Travis Scott,sdp interlude,191622
2024-08-04 22:11,The Weeknd,Save Your Tears,215626
2024-08-04 22:12,Logic,Dark Place,7810
2024-08-04 22:12,Disclosure,Observer Effect - DJ-Kicks,13980
2024-08-04 22:16,Daft Punk,Something About Us,232666
2024-08-04 22:16,Jungle,Back On 74,6343
2024-08-04 22:18,Drake,From Time,109270
2024-08-04 22:19,Kid Cudi,The Void,76770
2024-08-04 22:19,Joey Bada$$,My Yout,11630
2024-08-04 22:19,Kanye West,Heard 'Em Say,2900
2024-08-04 22:19,Dua Lipa,Levitating (feat. DaBaby),3350
2024-08-04 22:19,Kanye West,Clique,3880
2024-08-04 22:19,Kanye West,We Major,4050
2024-08-04 22:20,Pink Floyd,Time,10540
2024-08-04 22:24,"Tyler, The Creator",Where This Flower Blooms (feat. Frank Ocean),194933
2024-08-04 22:26,Fleetwood Mac,Dreams - 2004 Remaster,98951
2024-08-04 22:31,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),205040
2024-08-04 22:34,Famous Dex,JAPAN,4156
2024-08-04 22:34,The Smashing Pumpkins,1979 - Remastered 2012,6501
2024-08-04 22:34,Childish Gambino,IV. Sweatpants,136975
2024-08-04 22:34,Tears For Fears,Head Over Heels,2484
2024-08-04 22:34,Beach House,Space Song,2647
2024-08-04 22:41,Drake,Spin Bout U,3157
2024-08-04 22:41,Obskür,Bayside,10797
